Team,SOS
Baltimore,0.9
Tampa Bay,-0.1
Cincinnati,-0.1
Chicago,0.1
Detroit,1
Buffalo,1.2
New Orleans,-0.6
Arizona,0.8
Washington,0.4
Carolina,-0.3
Denver,0.4
Cleveland,1
LA Chargers,-0.8
Miami,0.5
Jacksonville,0.8
Kansas City,-0.1
Philadelphia,0.1
Seattle,0.7
Green Bay,1
Houston,1.2
Minnesota,1.2
Atlanta,-1.4
NY Jets,0.1
Indianapolis,0.3
Las Vegas,0.3
San Francisco,0.9
Tennessee,1
LA Rams,0.9
New England,1.6
Pittsburgh,1.3
Dallas,0.6
NY Giants,0.5
