Team,PD
Baltimore,70
Tampa Bay,36
Cincinnati,1
Chicago,1
Detroit,180
Buffalo,106
New Orleans,2
Arizona,8
Washington,57
Carolina,-146
Denver,62
Cleveland,-81
LA Chargers,68
Miami,-34
Jacksonville,-108
Kansas City,54
Philadelphia,97
Seattle,2
Green Bay,78
Houston,17
Minnesota,77
Atlanta,-30
NY Jets,-38
Indianapolis,-32
Las Vegas,-110
San Francisco,0
Tennessee,-88
LA Rams,-43
New England,-85
Pittsburgh,66
Dallas,-91
NY Giants,-96
